feedback_ID,student_ID,course_ID,timestamp,feedback
1,1001,101,1732290182.0907772,Great course!
2,1002,102,1732290182.0907788,Challenging!
3,10501,1201,1732934613.30288,Great course!
4,10502,1202,1732934613.302882,Challenging!
5,1003,201,1733001234.5678901,Very informative!
6,1004,202,1733002234.5678901,Too difficult.
7,1005,301,1733003234.5678901,Loved the hands-on projects.
8,1006,302,1733004234.5678901,Content was outdated.
9,1007,401,1733005234.5678901,Excellent teacher!
10,1008,402,1733006234.5678901,Very practical examples.
11,1009,501,1733007234.5678901,Fascinating subject!
12,1010,502,1733008234.5678901,Wish there were more examples.
13,1011,601,1733009234.5678901,Very challenging.
14,1012,602,1733010234.5678901,Good pace.
15,1013,701,1733011234.5678901,Loved the discussions.
16,1014,702,1733012234.5678901,Needed more depth.
17,1015,801,1733013234.5678901,Great insights into literature.
18,1016,802,1733014234.5678901,Too much reading material.
19,1017,901,1733015234.5678901,Very clear explanations.
20,1018,902,1733016234.5678901,Could use better real-world examples.21,1027,116,1733124444.9048672,Repeated Feedback
22,1009,114,1733124444.9048681,Repeated Feedback
23,1030,117,1733124444.904869,Repeated Feedback
24,1020,120,1733124444.904869,Repeated Feedback
25,1029,101,1733124444.9048698,Repeated Feedback
26,1009,112,1733124444.9048698,Repeated Feedback
27,1026,118,1733124444.904871,Repeated Feedback
28,1011,111,1733124444.904871,Repeated Feedback
29,1018,101,1733124444.904872,Repeated Feedback
30,1009,110,1733124444.904872,Repeated Feedback
21,1015,131,1733124554.382711,Loved the pace!
31,1049,137,1733124554.382716,Challenging!
32,1040,128,1733124554.382716,Very informative!
33,1041,124,1733124554.3827178,Loved the pace!
34,1039,108,1733124554.3827178,Challenging!
35,1040,119,1733124554.382719,Loved the pace!
36,1006,123,1733124554.382719,Challenging!
37,1029,116,1733124554.38272,Challenging!
38,1023,103,1733124554.38272,Needs improvement.
39,1016,103,1733124554.382721,Great course!
40,1042,127,1733124554.382721,Challenging!
41,1024,140,1733124554.3827221,Repeated Feedback
42,1045,126,1733124554.3827221,Repeated Feedback
43,1018,136,1733124554.382723,Repeated Feedback
44,1022,138,1733124554.382723,Repeated Feedback
45,1008,134,1733124554.382724,Repeated Feedback
46,1015,134,1733124554.382724,Repeated Feedback
47,1013,106,1733124554.3827252,Repeated Feedback
48,1048,101,1733124554.3827252,Repeated Feedback
49,1042,105,1733124554.3827252,Repeated Feedback
50,1045,135,1733124554.382726,Repeated Feedback
51,1040,124,1733124731.135809,Repeated Feedback
52,1052,129,1733124731.1358101,Repeated Feedback
53,1012,114,1733124731.1358101,Repeated Feedback
54,1039,147,1733124731.135811,Repeated Feedback
55,1043,114,1733124731.135811,Repeated Feedback
56,1035,116,1733124731.135811,Repeated Feedback
57,1059,124,1733124731.135812,Repeated Feedback
58,1041,141,1733124731.135812,Repeated Feedback
59,1059,124,1733124731.1358132,Repeated Feedback
60,1014,111,1733124731.1358132,Repeated Feedback
61,1038,124,1733124731.135814,Repeated Feedback
62,1022,150,1733124731.135814,Repeated Feedback
63,1024,119,1733124731.135815,Repeated Feedback
64,1051,124,1733124731.135815,Repeated Feedback
65,1004,119,1733124731.1358159,Repeated Feedback
66,1035,127,1733124731.1358159,Repeated Feedback
67,1007,131,1733124731.135817,Repeated Feedback
68,1022,131,1733124731.135817,Repeated Feedback
69,1020,123,1733124731.135818,Repeated Feedback
70,1007,146,1733124731.135818,Repeated Feedback
71,1037,183,1733124853.449378,Repeated Feedback
72,1021,131,1733124853.449379,Repeated Feedback
73,1052,127,1733124853.449379,Repeated Feedback
74,1075,144,1733124853.4493802,Repeated Feedback
75,1009,182,1733124853.4493818,Repeated Feedback
76,1045,141,1733124853.4493818,Repeated Feedback
77,1062,154,1733124853.449384,Repeated Feedback
78,1045,175,1733124853.449384,Repeated Feedback
79,1024,150,1733124853.449385,Repeated Feedback
80,1036,125,1733124853.449385,Repeated Feedback
81,1074,183,1733124853.449386,Repeated Feedback
82,1014,194,1733124853.449386,Repeated Feedback
83,1006,185,1733124853.449387,Repeated Feedback
84,1038,111,1733124853.449387,Repeated Feedback
85,1053,177,1733124853.449388,Repeated Feedback
86,1009,178,1733124853.449388,Repeated Feedback
87,1057,120,1733124853.449389,Repeated Feedback
88,1033,145,1733124853.449389,Repeated Feedback
89,1048,133,1733124853.4493902,Repeated Feedback
90,1004,102,1733124853.4493902,Repeated Feedback
91,1017,187,1733124853.4493902,Repeated Feedback
92,1018,104,1733124853.4493911,Repeated Feedback
93,1034,137,1733124853.4493911,Repeated Feedback
94,1027,150,1733124853.449392,Repeated Feedback
95,1030,190,1733124853.4493928,Repeated Feedback
96,1021,171,1733124853.4493928,Repeated Feedback
97,1027,156,1733124853.4493928,Repeated Feedback
98,1071,136,1733124853.449394,Repeated Feedback
99,1057,162,1733124853.449394,Repeated Feedback
100,1011,137,1733124853.449395,Repeated Feedback
141,1038,114,1733124853.449461,Best class ever!
142,1077,173,1733124853.449462,Best class ever!
143,1024,122,1733124853.4494631,Fantastic course!
144,1073,103,1733124853.449465,Fantastic course!
145,1010,161,1733124853.449465,Needs improvement.
146,1062,145,1733124853.4494662,Too theoretical.
147,1056,193,1733124853.4494662,Too theoretical.
148,1057,102,1733124853.449467,Not worth it.
149,1029,143,1733124853.449467,Best class ever!
150,1054,113,1733124853.449467,Best class ever!
151,1013,167,1733124853.449468,Not worth it.
152,1017,115,1733124853.449468,Fantastic course!
153,1052,135,1733124853.4494689,Too theoretical.
154,1001,170,1733124853.4494689,Fantastic course!
155,1050,154,1733124853.449472,Too theoretical.
156,1069,134,1733124853.449472,Fantastic course!
157,1078,151,1733124853.4494731,Not worth it.
158,1069,142,1733124853.4494731,Not worth it.
159,1075,132,1733124853.449474,Too theoretical.
160,1016,188,1733124853.449474,Fantastic course!
161,1025,145,1733124853.449474,Best class ever!
162,1029,155,1733124853.449475,Too theoretical.
163,1037,113,1733124853.449475,Fantastic course!
164,1005,161,1733124853.449476,Needs improvement.
165,1007,164,1733124853.449476,Too theoretical.
166,1075,149,1733124853.4494772,Needs improvement.
167,1079,146,1733124853.4494772,Fantastic course!
168,1052,180,1733124853.449478,Needs improvement.
169,1032,171,1733124853.449478,Fantastic course!
170,1048,117,1733124853.4494789,Not worth it.
173,1009,160,1733124853.449481,Edge case feedback.
177,1049,171,1733124853.449502,
178,1072,124,1733124853.449503,
180,1003,188,1733124853.449504,
181,1033,177,1733124853.449505,
183,1044,170,1733124853.449506,
184,1037,149,1733124853.449507,
185,1059,182,1733124853.449507,
194,1064,176,1733124853.449516,
195,1019,111,1733124853.449517,Edge case feedback.
198,1067,120,1733124853.4495192,Edge case feedback.
199,1067,124,1733124853.44952,
101,1096,141,1733124934.0947149,Repeated Feedback
102,1094,192,1733124934.0947158,Repeated Feedback
103,1006,165,1733124934.0947158,Repeated Feedback
104,1033,209,1733124934.094717,Repeated Feedback
105,1008,206,1733124934.094717,Repeated Feedback
106,1054,148,1733124934.09472,Repeated Feedback
107,1053,116,1733124934.094722,Repeated Feedback
108,1048,247,1733124934.094722,Repeated Feedback
109,1088,105,1733124934.094723,Repeated Feedback
110,1036,210,1733124934.094723,Repeated Feedback
111,1062,155,1733124934.094723,Repeated Feedback
112,1067,232,1733124934.0947242,Repeated Feedback
113,1065,235,1733124934.0947242,Repeated Feedback
114,1039,163,1733124934.0947251,Repeated Feedback
115,1031,227,1733124934.0947251,Repeated Feedback
116,1106,122,1733124934.0947258,Repeated Feedback
117,1006,136,1733124934.0947258,Repeated Feedback
118,1111,159,1733124934.0947268,Repeated Feedback
119,1073,182,1733124934.0947268,Repeated Feedback
120,1022,140,1733124934.0947268,Repeated Feedback
121,1008,106,1733124934.094728,Repeated Feedback
122,1065,101,1733124934.094728,Repeated Feedback
123,1116,124,1733124934.094729,Repeated Feedback
124,1058,197,1733124934.094729,Repeated Feedback
125,1070,130,1733124934.09473,Repeated Feedback
126,1081,222,1733124934.09473,Repeated Feedback
127,1104,173,1733124934.094731,Repeated Feedback
128,1045,206,1733124934.094731,Repeated Feedback
129,1021,104,1733124934.094731,Repeated Feedback
130,1044,143,1733124934.094732,Repeated Feedback
131,1034,193,1733124934.094732,Repeated Feedback
132,1030,152,1733124934.094733,Repeated Feedback
133,1026,145,1733124934.094733,Repeated Feedback
134,1049,247,1733124934.0947342,Repeated Feedback
135,1004,176,1733124934.0947342,Repeated Feedback
136,1018,206,1733124934.0947351,Repeated Feedback
137,1087,226,1733124934.0947351,Repeated Feedback
138,1099,181,1733124934.0947359,Repeated Feedback
139,1108,249,1733124934.0947359,Repeated Feedback
140,1082,196,1733124934.0947368,Repeated Feedback
221,1036,198,1733124934.0948539,Needs improvement.
222,1077,135,1733124934.0948539,Too theoretical.
223,1068,238,1733124934.0948548,Too theoretical.
224,1033,114,1733124934.0948548,Too theoretical.
225,1021,142,1733124934.094856,Too theoretical.
226,1016,222,1733124934.094856,Too theoretical.
227,1053,155,1733124934.094857,Too theoretical.
228,1009,229,1733124934.094857,Best class ever!
229,1041,160,1733124934.094858,Fantastic course!
230,1031,136,1733124934.094858,Needs improvement.
231,1004,171,1733124934.0948591,Needs improvement.
232,1102,134,1733124934.0948591,Fantastic course!
233,1084,136,1733124934.09486,Fantastic course!
234,1021,225,1733124934.09486,Too theoretical.
235,1047,125,1733124934.09486,Too theoretical.
236,1105,153,1733124934.094861,Not worth it.
237,1037,158,1733124934.094861,Too theoretical.
238,1080,163,1733124934.094862,Not worth it.
239,1019,222,1733124934.094862,Too theoretical.
240,1063,176,1733124934.0948632,Best class ever!
241,1078,174,1733124934.0948632,Too theoretical.
242,1055,205,1733124934.094864,Needs improvement.
243,1072,232,1733124934.094866,Needs improvement.
244,1016,248,1733124934.094866,Fantastic course!
245,1017,107,1733124934.094867,Fantastic course!
246,1107,210,1733124934.094867,Fantastic course!
247,1014,110,1733124934.094867,Too theoretical.
248,1079,126,1733124934.094868,Fantastic course!
249,1073,104,1733124934.094868,Best class ever!
250,1066,104,1733124934.094869,Best class ever!
251,1076,206,1733124934.094871,Too theoretical.
252,1103,168,1733124934.094871,Fantastic course!
253,1101,162,1733124934.094872,Needs improvement.
254,1099,223,1733124934.094872,Fantastic course!
255,1080,209,1733124934.0948732,Fantastic course!
256,1092,246,1733124934.0948732,Needs improvement.
257,1010,230,1733124934.0948741,Fantastic course!
258,1107,136,1733124934.0948741,Needs improvement.
259,1087,194,1733124934.0948749,Fantastic course!
260,1114,193,1733124934.0948749,Best class ever!
261,1061,108,1733124934.0948758,Too theoretical.
262,1006,124,1733124934.0948758,Not worth it.
263,1092,165,1733124934.0948758,Best class ever!
264,1064,150,1733124934.094877,Needs improvement.
265,1070,130,1733124934.094877,Fantastic course!
266,1053,156,1733124934.094878,Not worth it.
267,1098,165,1733124934.094878,Needs improvement.
268,1032,243,1733124934.094879,Needs improvement.
269,1067,205,1733124934.094879,Not worth it.
270,1061,105,1733124934.09488,Not worth it.
271,1007,168,1733124934.09488,
275,1002,239,1733124934.094883,
277,1093,235,1733124934.0948842,
280,1049,149,1733124934.0948858,
285,1053,112,1733124934.094892,
286,1018,162,1733124934.0948942,
287,1032,139,1733124934.0948942,Edge case feedback.
290,1054,129,1733124934.094896,
295,1077,146,1733124934.094917,Edge case feedback.
299,1081,119,1733124934.094922,
300,1012,135,1733124934.094922,
301,1026,219,1733124934.094923,
304,1061,174,1733124934.0949252,
307,1062,211,1733124934.094927,
309,1022,233,1733124934.0949278,Edge case feedback.
315,1022,157,1733124934.094934,
316,1116,102,1733124934.094934,
321,1048,209,1733124934.094938,Edge case feedback.
323,1120,146,1733124934.094939,
325,1103,216,1733124934.09494,Edge case feedback.
326,1059,235,1733124934.09494,
328,1035,119,1733124934.0949419,Edge case feedback.
330,1005,178,1733124934.094943,
752,1115,114,1733124934.094944,Highly recommended!
766,1017,211,1733124934.094954,Difficult.
767,1030,167,1733124934.094955,Informative.
769,1064,271,1733124934.094956,Outdated content.
771,1067,242,1733124934.094957,Amazing!
775,1072,149,1733124934.094959,Informative.
776,1112,261,1733124934.0949602,Difficult.
777,1005,223,1733124934.0949602,Amazing!
782,1103,231,1733124934.094964,Difficult.
783,1078,275,1733124934.094964,Highly recommended!
784,1021,234,1733124934.094965,Highly recommended!
789,1044,288,1733124934.0949671,Informative.
790,1067,111,1733124934.0949671,Amazing!
171,1062,159,1733124991.47232,Repeated Feedback
172,1091,194,1733124991.47232,Repeated Feedback
174,1001,194,1733124991.472321,Repeated Feedback
175,1121,113,1733124991.472322,Repeated Feedback
176,1070,197,1733124991.472322,Repeated Feedback
179,1084,122,1733124991.4723232,Repeated Feedback
182,1080,135,1733124991.4723258,Repeated Feedback
186,1013,288,1733124991.472327,Repeated Feedback
187,1120,188,1733124991.472328,Repeated Feedback
188,1071,294,1733124991.472328,Repeated Feedback
189,1120,169,1733124991.472329,Repeated Feedback
190,1123,231,1733124991.472329,Repeated Feedback
191,1125,141,1733124991.47233,Repeated Feedback
192,1040,174,1733124991.47233,Repeated Feedback
193,1033,105,1733124991.47233,Repeated Feedback
196,1150,129,1733124991.472332,Repeated Feedback
197,1088,272,1733124991.472332,Repeated Feedback
200,1058,187,1733124991.4723341,Repeated Feedback
322,1071,126,1733124991.472511,Too theoretical.
324,1053,214,1733124991.472512,Not worth it.
327,1056,142,1733124991.472513,Best class ever!
329,1014,105,1733124991.4725142,Needs improvement.
331,1018,159,1733124991.472515,Fantastic course!
332,1119,215,1733124991.472515,Not worth it.
333,1094,182,1733124991.472516,Fantastic course!
334,1046,263,1733124991.472516,Not worth it.
335,1099,103,1733124991.472517,Too theoretical.
336,1020,236,1733124991.472517,Not worth it.
337,1066,229,1733124991.472518,Needs improvement.
338,1010,135,1733124991.472518,Needs improvement.
339,1011,161,1733124991.472518,Needs improvement.
340,1147,196,1733124991.472519,Best class ever!
341,1038,227,1733124991.472519,Too theoretical.
342,1044,265,1733124991.4725199,Not worth it.
343,1045,114,1733124991.4725199,Best class ever!
344,1092,112,1733124991.472521,Too theoretical.
345,1024,209,1733124991.472521,Too theoretical.
346,1088,240,1733124991.472522,Too theoretical.
347,1001,258,1733124991.472523,Best class ever!
348,1054,225,1733124991.472524,Not worth it.
349,1093,180,1733124991.472524,Not worth it.
350,1108,224,1733124991.472524,Too theoretical.
351,1013,243,1733124991.4725251,Needs improvement.
352,1087,160,1733124991.4725251,Needs improvement.
353,1052,263,1733124991.472526,Fantastic course!
354,1067,144,1733124991.472526,Fantastic course!
355,1033,288,1733124991.472527,Not worth it.
356,1146,117,1733124991.472527,Best class ever!
357,1148,273,1733124991.472528,Not worth it.
358,1116,144,1733124991.472528,Too theoretical.
359,1060,248,1733124991.47253,Not worth it.
360,1011,216,1733124991.47253,Best class ever!
361,1018,224,1733124991.4725308,Not worth it.
362,1026,107,1733124991.4725308,Needs improvement.
363,1118,142,1733124991.4725308,Needs improvement.
364,1014,267,1733124991.472532,Not worth it.
365,1107,287,1733124991.472532,Too theoretical.
366,1012,276,1733124991.472533,Fantastic course!
367,1070,281,1733124991.472533,Not worth it.
368,1136,194,1733124991.472534,Best class ever!
369,1011,224,1733124991.472534,Too theoretical.
370,1072,218,1733124991.4725351,Best class ever!
371,1119,161,1733124991.4725351,Needs improvement.
372,1066,107,1733124991.4725351,Fantastic course!
373,1086,196,1733124991.472536,Needs improvement.
374,1088,162,1733124991.472536,Needs improvement.
375,1092,226,1733124991.472537,Needs improvement.
376,1014,294,1733124991.472537,Too theoretical.
377,1117,214,1733124991.472538,Fantastic course!
378,1029,114,1733124991.472538,Best class ever!
379,1072,250,1733124991.472539,Best class ever!
380,1042,152,1733124991.472539,Not worth it.
381,1131,272,1733124991.472539,Needs improvement.
382,1055,272,1733124991.47254,Not worth it.
383,1141,154,1733124991.47254,Best class ever!
384,1070,169,1733124991.4725409,Not worth it.
385,1056,188,1733124991.4725409,Best class ever!
386,1002,165,1733124991.472542,Needs improvement.
387,1036,296,1733124991.472542,Too theoretical.
388,1134,203,1733124991.472543,Fantastic course!
389,1042,123,1733124991.472543,Best class ever!
390,1123,237,1733124991.472545,Not worth it.
391,1131,243,1733124991.472545,Best class ever!
392,1019,273,1733124991.472546,Fantastic course!
393,1068,250,1733124991.472546,Fantastic course!
394,1129,144,1733124991.472546,Fantastic course!
395,1037,116,1733124991.472547,Needs improvement.
396,1135,231,1733124991.472547,Not worth it.
397,1122,229,1733124991.472548,Not worth it.
398,1078,115,1733124991.472548,Fantastic course!
399,1131,250,1733124991.4725492,Too theoretical.
400,1023,116,1733124991.4725492,Too theoretical.
405,1094,289,1733124991.472553,
406,1143,263,1733124991.472553,Edge case feedback.
407,1105,257,1733124991.472554,Edge case feedback.
408,1035,165,1733124991.472555,
409,1064,274,1733124991.472555,Edge case feedback.
414,1084,188,1733124991.4725592,
415,1003,165,1733124991.4725602,Edge case feedback.
416,1141,103,1733124991.472561,
419,1083,268,1733124991.472564,Edge case feedback.
420,1057,142,1733124991.472564,
421,1114,114,1733124991.472565,Edge case feedback.
422,1141,252,1733124991.472565,
424,1136,116,1733124991.472567,
425,1073,136,1733124991.472568,
430,1140,124,1733124991.472589,
431,1086,103,1733124991.472589,
432,1114,203,1733124991.47259,Edge case feedback.
433,1090,181,1733124991.47259,
434,1024,154,1733124991.4725912,
436,1088,297,1733124991.4725919,Edge case feedback.
439,1076,220,1733124991.472594,
440,1118,243,1733124991.472595,
441,1018,287,1733124991.472595,Edge case feedback.
444,1139,111,1733124991.472597,Edge case feedback.
445,1053,246,1733124991.472597,Edge case feedback.
450,1005,233,1733124991.4726012,
452,1063,231,1733124991.4726021,
453,1109,232,1733124991.4726028,
454,1052,233,1733124991.4726028,Edge case feedback.
456,1086,117,1733124991.472605,
459,1014,229,1733124991.472609,Edge case feedback.
460,1036,181,1733124991.472609,Edge case feedback.
461,1121,193,1733124991.47261,Edge case feedback.
462,1141,297,1733124991.47261,
463,1125,229,1733124991.4726112,
464,1106,237,1733124991.4726112,
471,1124,222,1733124991.472616,Edge case feedback.
472,1115,253,1733124991.472616,
473,1007,207,1733124991.472617,
474,1103,127,1733124991.472617,
478,1049,225,1733124991.47262,Edge case feedback.
480,1119,149,1733124991.472621,
481,1130,300,1733124991.4726222,
482,1094,134,1733124991.4726222,
483,1125,194,1733124991.472623,
489,1083,271,1733124991.4726279,Edge case feedback.
493,1141,212,1733124991.472631,
496,1026,257,1733124991.4726331,Edge case feedback.
499,1056,177,1733124991.472636,Edge case feedback.
1051,1098,251,1733124991.472637,Loved the group work.
1052,1064,296,1733124991.472637,Too many lectures.
1056,1154,149,1733124991.47264,Great learning experience!
1062,1029,347,1733124991.4726431,Too many lectures.
1063,1066,172,1733124991.472644,Too many lectures.
1067,1005,271,1733124991.472665,Loved the group work.
1071,1007,318,1733124991.472669,Not enough examples.
1075,1109,330,1733124991.472673,Not enough examples.
1078,1116,170,1733124991.4726741,Could use more practical examples.
1080,1094,119,1733124991.472675,Could use more practical examples.
1083,1149,219,1733124991.4726772,Loved the group work.
1087,1115,335,1733124991.472679,Not enough examples.
1088,1096,132,1733124991.472679,Great learning experience!
1093,1096,131,1733124991.472683,Loved the group work.
1095,1124,271,1733124991.472685,Great learning experience!
1097,1024,248,1733124991.472686,Loved the group work.
1098,1077,200,1733124991.472689,Loved the group work.
1100,1117,148,1733124991.4726899,Too many lectures.
401,1149,196,1733180041.1754339,
402,1023,239,1733180041.175435,Edge case feedback.
411,1001,180,1733180041.1754398,
427,1087,294,1733180041.1754491,Edge case feedback.
428,1139,175,1733180041.1754491,Edge case feedback.
435,1144,121,1733180041.175454,Edge case feedback.
438,1150,102,1733180041.175456,Edge case feedback.
443,1027,193,1733180041.175458,Edge case feedback.
446,1071,297,1733180041.17546,
447,1095,229,1733180041.17546,
448,1096,213,1733180041.175461,
458,1122,152,1733180041.175467,Edge case feedback.
466,1050,178,1733180041.175474,Edge case feedback.
467,1113,143,1733180041.175474,Edge case feedback.
468,1028,128,1733180041.175474,Edge case feedback.
470,1027,270,1733180041.175475,
475,1115,179,1733180041.175478,
476,1069,284,1733180041.175493,
486,1144,238,1733180041.175499,Edge case feedback.
491,1018,117,1733180041.175501,
494,1125,256,1733180041.175504,
495,1143,229,1733180041.175504,
500,1105,112,1733180041.1755068,
1055,1137,346,1733180041.175509,Could use more practical examples.
1058,1132,287,1733180041.17551,Great learning experience!
1061,1104,121,1733180041.175513,Great learning experience!
1070,1108,205,1733180041.1755168,Too many lectures.
1072,1108,155,1733180041.175518,Loved the group work.
1077,1087,159,1733180041.17552,Great learning experience!
1084,1062,290,1733180041.175524,Loved the group work.
1092,1037,274,1733180041.175528,Could use more practical examples.
1094,1112,347,1733180041.175529,Great learning experience!
412,1140,152,1733180069.9960802,
413,1066,289,1733180069.9960809,
423,1035,252,1733180069.996087,
426,1112,296,1733180069.996088,
410,1115,282,1733180069.9960792,Edge case feedback.
429,1024,136,1733180069.996091,
437,1085,175,1733180069.996098,
451,1101,205,1733180069.996107,Edge case feedback.
455,1026,300,1733180069.99611,
457,1025,151,1733180069.9961112,Edge case feedback.
469,1115,119,1733180069.99612,
492,1074,247,1733180069.996154,Edge case feedback.
497,1111,130,1733180069.996157,
1059,1089,302,1733180069.996167,Not enough examples.
1060,1024,205,1733180069.996168,Loved the group work.
1068,1024,285,1733180069.9961731,Could use more practical examples.
1074,1043,185,1733180069.9961758,Great learning experience!
1096,1010,305,1733180069.9961889,Great learning experience!
465,1024,133,1733180109.6879401,
484,1073,279,1733180109.687965,Edge case feedback.
485,1056,191,1733180109.687965,Edge case feedback.
490,1058,188,1733180109.687968,
1081,1103,248,1733180109.687989,Not enough examples.
1089,1080,111,1733180109.687992,Too many lectures.
1099,1079,137,1733180109.687996,Loved the group work.
418,1035,242,1733180137.172106,Edge case feedback.
479,1091,206,1733180137.172162,Edge case feedback.
1066,1100,272,1733180137.1721861,Could use more practical examples.
1069,1008,273,1733180137.1721878,Too many lectures.
1053,1132,148,1733180137.172178,Loved the group work.
1086,1004,286,1733180137.172197,Too many lectures.
1090,1013,321,1733180137.1721978,Great learning experience!
442,1087,181,1733180160.65968,
487,1011,226,1733180160.659725,
477,1043,288,1733180160.659703,
488,1036,189,1733180160.6597261,
1076,1063,337,1733180160.65975,Could use more practical examples.
1079,1129,173,1733180160.659751,Could use more practical examples.
403,1137,277,1733180182.8347101,Edge case feedback.
1073,1126,257,1733180182.834805,Could use more practical examples.
1082,1095,162,1733180182.834811,Not enough examples.
404,1003,216,1733180212.760745,
498,1088,255,1733180212.76082,Edge case feedback.
1054,1158,218,1733180212.7608252,Loved the group work.
1065,1112,101,1733180212.760832,Could use more practical examples.
449,1061,286,1733180236.060472,Edge case feedback.
1057,1163,148,1733180236.060527,Loved the group work.
417,1049,147,1733180256.113067,
1064,1057,272,1733180256.113146,Too many lectures.
1091,1002,178,1733180277.855378,Not enough examples.
